Crop,Country,Country_ID,MaxAssimilationRate,AssimilateReallocation,RootPenetrationRate
Maize,Algeria,10,1,1,1
Maize,Angola,43,1,1,1
Maize,Burkina Faso,18,1,1,1
Maize,Burundi,42,1,1,1
Maize,Cameroon,21,1,1,1
Maize,Central Africa,29,1,1,1
Maize,Chad,15,1,1,1
Maize,Congo,34,1,1,1
Maize,Egypt,12,1,1,1
Maize,Ethiopia,19,1,1,1
Maize,Gabon,38,1,1,1
Maize,Gambia,6,1,1,1
Maize,Ghana,27,1,1,1
Maize,Guinea,8,1,1,1
Maize,Guinea-Bissau,7,1,1,1
Maize,Kenya,33,1,1,1
Maize,Libya,11,1,1,1
Maize,Madagascar,48,1,1,1
Maize,Malawi,45,1,1,1
Maize,Mali,13,1,1,1
Maize,Mauritania,3,1,1,1
Maize,Morocco,1,1,1,1
Maize,Mozambique,46,1,1,1
Maize,Namibia,50,1,1,1
Maize,Niger,14,1,1,1
Maize,Nigeria,20,1,1,1
Maize,Rwanda,41,1,1,1
Maize,Senegal,5,1,1,1
Maize,Sierra Leone,31,1,1,1
Maize,Somalia,25,1,1,1
Maize,South Africa,52,1,1,1
Maize,Sudan,16,1,1,1
Maize,Tanzania,40,1,1,1
Maize,Togo,28,1,1,1
Maize,Uganda,35,1,1,1
Maize,Zambia,44,1,1,1
Maize,Zimbabwe,49,1,1,1
Millet,Algeria,10,1,1,1
Millet,Angola,43,1,1,1
Millet,Burkina Faso,18,1,1,1
Millet,Burundi,42,1,1,1
Millet,Cameroon,21,1,1,1
Millet,Central Africa,29,1,1,1
Millet,Chad,15,1,1,1
Millet,Congo,34,1,1,1
Millet,Egypt,12,1,1,1
Millet,Ethiopia,19,1,1,1
Millet,Gabon,38,1,1,1
Millet,Gambia,6,1,1,1
Millet,Ghana,27,1,1,1
Millet,Guinea,8,1,1,1
Millet,Guinea-Bissau,7,1,1,1
Millet,Kenya,33,1,1,1
Millet,Libya,11,1,1,1
Millet,Madagascar,48,1,1,1
Millet,Malawi,45,1,1,1
Millet,Mali,13,1,1,1
Millet,Mauritania,3,1,1,1
Millet,Morocco,1,1,1,1
Millet,Mozambique,46,1,1,1
Millet,Namibia,50,1,1,1
Millet,Niger,14,1,1,1
Millet,Nigeria,20,1,1,1
Millet,Rwanda,41,1,1,1
Millet,Senegal,5,1,1,1
Millet,Sierra Leone,31,1,1,1
Millet,Somalia,25,1,1,1
Millet,South Africa,52,1,1,1
Millet,Sudan,16,1,1,1
Millet,Tanzania,40,1,1,1
Millet,Togo,28,1,1,1
Millet,Uganda,35,1,1,1
Millet,Zambia,44,1,1,1
Millet,Zimbabwe,49,1,1,1
Sorghum,Algeria,10,1,1,1
Sorghum,Angola,43,1,1,1
Sorghum,Burkina Faso,18,1,1,1
Sorghum,Burundi,42,1,1,1
Sorghum,Cameroon,21,1,1,1
Sorghum,Central Africa,29,1,1,1
Sorghum,Chad,15,1,1,1
Sorghum,Congo,34,1,1,1
Sorghum,Egypt,12,1,1,1
Sorghum,Ethiopia,19,1,1,1
Sorghum,Gabon,38,1,1,1
Sorghum,Gambia,6,1,1,1
Sorghum,Ghana,27,1,1,1
Sorghum,Guinea,8,1,1,1
Sorghum,Guinea-Bissau,7,1,1,1
Sorghum,Kenya,33,1,1,1
Sorghum,Libya,11,1,1,1
Sorghum,Madagascar,48,1,1,1
Sorghum,Malawi,45,1,1,1
Sorghum,Mali,13,1,1,1
Sorghum,Mauritania,3,1,1,1
Sorghum,Morocco,1,1,1,1
Sorghum,Mozambique,46,1,1,1
Sorghum,Namibia,50,1,1,1
Sorghum,Niger,14,1,1,1
Sorghum,Nigeria,20,1,1,1
Sorghum,Rwanda,41,1,1,1
Sorghum,Senegal,5,1,1,1
Sorghum,Sierra Leone,31,1,1,1
Sorghum,Somalia,25,1,1,1
Sorghum,South Africa,52,1,1,1
Sorghum,Sudan,16,1,1,1
Sorghum,Tanzania,40,1,1,1
Sorghum,Togo,28,1,1,1
Sorghum,Uganda,35,1,1,1
Sorghum,Zambia,44,1,1,1
Sorghum,Zimbabwe,49,1,1,1
